35108:
 num     #instances         #bytes  class name (module)
  93:          2018          32288  org.apache.ibatis.scripting.xmltags.MixedSqlNode
  94:           302          31408  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile
  95:            16          31232  [Ljava.util.concurrent.ForkJoinTask; (java.base@25)
  96:          1266          29528  [Lorg.springframework.core.ResolvableType;
  97:           922          29504  org.springframework.http.MediaType
  98:          1838          29408  java.lang.ref.ReferenceQueue$Lock (java.base@25)
  99:          1825          29200  java.lang.Integer (java.base@25)
 100:           898          28736  org.springframework.cglib.proxy.MethodProxy
 101:           888          28416  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 102:          1177          28248  sun.reflect.generics.factory.CoreReflectionFactory (java.base@25)
 103:          1135          27240  java.util.Collections$UnmodifiableRandomAccessList (java.base@25)
 104:           422          27008  java.net.URL (java.base@25)
 105:          1070          25680  org.springframework.beans.factory.annotation.InjectionMetadata
 106:          1052          25248  java.lang.invoke.LambdaForm$NamedFunction (java.base@25)
 107:          1050          25200  org.springframework.boot.web.server.MimeMappings$Mapping
 108:          1049          25176  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@25)
 109:          1036          24864  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 110:          1547          24752  org.apache.ibatis.scripting.xmltags.StaticTextSqlNode
 111:           272          23936  org.HdrHistogram.HistogramIterationValue
 112:           588          23520  java.math.BigInteger (java.base@25)
 113:           127          23488  [Ljava.lang.invoke.MethodHandle; (java.base@25)
 114:           960          23040  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 115:           945          22680  java.util.concurrent.ConcurrentLinkedDeque (java.base@25)
 116:           684          21888  sun.reflect.generics.repository.ClassRepository (java.base@25)
 117:          1333          21328  java.util.concurrent.atomic.AtomicInteger (java.base@25)
 118:          1046          21240  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@25)
 119:           867          20808  org.springframework.aop.framework.AdvisedSupport$MethodCacheKey
 120:          1166          20648  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@25)
 121:           644          20608  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@25)
 122:          1288          20608  org.springframework.core.ResolvableType$DefaultVariableResolver
 123:           102          20400  org.HdrHistogram.ConcurrentHistogram
 124:           500          20000  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 125:           822          19728  org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog
 126:           821          19704  java.util.ArrayDeque (java.base@25)
 127:           306          19584  java.nio.DirectByteBuffer (java.base@25)
 128:           815          19560  java.security.Provider$ServiceKey (java.base@25)
