31420:
 num     #instances         #bytes  class name (module)
  93:             1          32784  [Lcom.alibaba.fastjson2.JSONFactory$NameCacheEntry;
  94:          2018          32288  org.apache.ibatis.scripting.xmltags.MixedSqlNode
  95:           302          31408  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile
  96:          1894          30304  java.lang.Integer (java.base@25)
  97:          1866          29856  java.lang.ref.ReferenceQueue$Lock (java.base@25)
  98:          1265          29512  [Lorg.springframework.core.ResolvableType;
  99:           922          29504  org.springframework.http.MediaType
 100:           898          28736  org.springframework.cglib.proxy.MethodProxy
 101:           888          28416  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 102:          1183          28392  sun.reflect.generics.factory.CoreReflectionFactory (java.base@25)
 103:           705          28200  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 104:           422          27008  java.net.URL (java.base@25)
 105:           422          27008  java.nio.DirectByteBuffer (java.base@25)
 106:          1123          26952  java.util.Collections$UnmodifiableRandomAccessList (java.base@25)
 107:          1070          25680  org.springframework.beans.factory.annotation.InjectionMetadata
 108:           288          25344  org.HdrHistogram.HistogramIterationValue
 109:          1053          25272  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@25)
 110:          1050          25200  org.springframework.boot.web.server.MimeMappings$Mapping
 111:          1041          24984  java.lang.invoke.LambdaForm$NamedFunction (java.base@25)
 112:          1036          24864  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 113:          1547          24752  org.apache.ibatis.scripting.xmltags.StaticTextSqlNode
 114:           588          23520  java.math.BigInteger (java.base@25)
 115:           127          23488  [Ljava.lang.invoke.MethodHandle; (java.base@25)
 116:           960          23040  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 117:           945          22680  java.util.concurrent.ConcurrentLinkedDeque (java.base@25)
 118:           686          21952  sun.reflect.generics.repository.ClassRepository (java.base@25)
 119:           108          21600  org.HdrHistogram.ConcurrentHistogram
 120:           672          21504  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@25)
 121:          1054          21400  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@25)
 122:          1333          21328  java.util.concurrent.atomic.AtomicInteger (java.base@25)
 123:           885          21240  io.netty.util.Recycler$DefaultHandle
 124:           867          20808  org.springframework.aop.framework.AdvisedSupport$MethodCacheKey
 125:          1172          20760  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@25)
 126:           865          20760  java.util.ArrayDeque (java.base@25)
